Stock,Market cap (in Rs Cr.),Current price,PE Ratio,52 Week High,% Below 52 week high,52 Week Low,% Above 52 Week low,Yesterday Closing Price,% Change,,,,,,,,,,,,,,,
PI industries,49475.63,3262,48.33,3698.45,11.80%,2333.55,39.79%,3292.65,-0.93%,,,,,,,,,,,,,,,
TVS,47610.86,999.5,39.03,1177,15.08%,513,94.83%,1005.2,-0.57%,,,,,,,,,,,,,,,
Trent,42896.59,1205.75,117.93,1571,23.25%,983.7,22.57%,1208.55,-0.23%,,,,,,,,,,,,,,,
sona comstar,24962.92,426,69.24,795,46.42%,397.35,7.21%,428.65,-0.62%,,,,,,,,,,,,,,,
Astral Poly Technic,41248.67,2046.5,96.08,2654.8,22.91%,1581.55,29.40%,2063.75,-0.84%,,,,,,,,,,,,,,,
Polycab,39945.40,2662,35.5,3025,12.00%,2043.85,30.24%,2677.05,-0.56%,,,,,,,,,,,,,,,
Aurobindo Pharma,25505.69,435.3,12.08,727.95,40.20%,429.2,1.42%,446.35,-2.48%,,,,,,,,,,,,,,,
Honeywell Auto,35109.69,39710,91.84,46397.7,14.41%,30185.35,31.55%,39677.1,0.08%,,,,,,,,,,,,,,,
MRF,38048.54,89700,66.97,95954.35,6.52%,62944.5,42.51%,89498.35,0.23%,,,,,,,,,,,,,,,
Gujarat Florochemical,30664.63,2793.5,28.23,4172.95,33.06%,2105.15,32.70%,2841.6,-1.69%,,,,,,,,,,,,,,,
Gujarat Gas,31008.53,450.2,22.9,721.8,37.63%,403.55,11.56%,466.8,-3.56%,,,,,,,,,,,,,,,
Max Financials,27569.41,799.4,88.04,1065,24.94%,627.8,27.33%,796.25,0.40%,,,,,,,,,,,,,,,
Coromandel International,25664.11,872,13.43,1094,20.29%,729.55,19.53%,881.85,-1.12%,,,,,,,,,,,,,,,
PB Fintech,20673.26,, ,1052.05,#REF!,356.2,#REF!,465.85,,,,,,,,,,,,,,,,
Indraprastha Gas,29162.03,416.85,17.03,466.65,10.67%,322.1,29.42%,418.6,-0.42%,,,,,,,,,,,,,,,
Lauras Lab,19213.87,357.4,22.19,626.3,42.93%,354,0.96%,360.4,-0.83%,,,,,,,,,,,,,,,
Deepak Nitrite,26525.72,1944.05,28.86,2690.05,27.73%,1681.15,15.64%,1941.8,0.12%,,,,,,,,,,,,,,,
Relaxo Footwear,22202.96,892.35,114.44,1369.7,34.85%,872,2.33%,898.2,-0.65%,,,,,,,,,,,,,,,
Persistent System,30617.09,4009,37.59,4954,19.08%,3092.05,29.66%,3978.2,0.77%,,,,,,,,,,,,,,,
3M India,25229.93,22300,68.24,26943,17.23%,17273,29.10%,22335.4,-0.16%,,,,,,,,,,,,,,,
IPCA Lab,22090.03,872.85,42.96,1095,20.29%,830,5.16%,868.6,0.49%,,,,,,,,,,,,,,,
Bata India,20286.90,1580,65.53,2122,25.54%,1551.1,1.86%,1636.6,-3.46%,,,,,,,,,,,,,,,
Coforge,23631.85,3868.05,32.39,5862.1,34.02%,3210,20.50%,3902.65,-0.89%,,,,,,,,,,,,,,,
